LOCATION: Hollandse Kust zuid
SYSTEM SERIAL: HKZA
TIMESTAMP (ISO-8601) UTC,WindDir004m deg,WindDir030m deg,WindDir040m deg,WindDir040m_ref deg,WindDir060m deg,WindDir080m deg,WindDir100m deg,WindDir120m deg,WindDir140m deg,WindDir160m deg,WindDir180m deg,WindDir200m deg,WindGust004m m/s,WindSpeed004m m/s,WindSpeed030mh m/s,WindSpeed040mh m/s,WindSpeed040m_refh m/s,WindSpeed060mh m/s,WindSpeed080mh m/s,WindSpeed100mh m/s,WindSpeed120mh m/s,WindSpeed140mh m/s,WindSpeed160mh m/s,WindSpeed180mh m/s,WindSpeed200mh m/s,TI 030m,TI 040m,TI 040m ref,TI 060m,TI 080m,TI 100m,TI 120m,TI 140m,TI 160m,TI 180m,TI 200m
2017-04-09T00:00:00Z, 107.226560, 110.039060, 110.742190, 110.742190, 111.796880, 112.500000, 114.960940, 118.828130, 129.375000, 136.406250, 140.625000, 146.250000,   2.871090,   2.402340,   3.632810,   4.335940,   4.277340,   4.746090,   4.687500,   4.687500,   4.980470,   5.507810,   5.800780,   5.800780,   5.566410,   0.068359,   0.046387,   0.050049,   0.059814,   0.078125,   0.058594,   0.062256,   0.074463,   0.046387,   0.052490,   0.054932
2017-04-09T00:10:00Z, 111.796880, 113.554690, 113.554690, 114.257810, 113.906250, 114.960940, 121.992190, 129.023440, 132.890630, 135.703130, 139.921880, 148.359380,   2.812500,   2.285160,   3.632810,   4.101560,   4.101560,   4.628910,   4.804690,   5.390630,   5.859380,   5.859380,   5.917970,   5.625000,   5.507810,   0.058594,   0.064697,   0.047607,   0.048828,   0.059814,   0.069580,   0.047607,   0.041504,   0.052490,   0.057373,   0.062256
2017-04-09T00:20:00Z, 114.257810, 114.609380, 114.257810, 113.554690, 116.367190, 123.398440, 128.671880, 130.429690, 132.890630, 137.460940, 146.953130, 150.820310,   2.695310,   2.226560,   3.574220,   3.984380,   3.984380,   4.746090,   5.449220,   5.859380,   6.152340,   6.210940,   6.093750,   5.566410,   5.566410,   0.067139,   0.063477,   0.084229,   0.061035,   0.052490,   0.052490,   0.059814,   0.061035,   0.067139,   0.061035,   0.056152
2017-04-09T00:30:00Z, 117.421880, 116.367190, 116.367190, 114.960940, 120.234380, 127.265630, 129.726560, 134.648440, 142.734380, 148.007810, 153.632810, 149.414060,   2.402340,   1.992190,   3.457030,   3.984380,   3.925780,   4.687500,   5.390630,   6.328130,   6.269530,   5.800780,   5.625000,   5.683590,   6.093750,   0.068359,   0.054932,   0.056152,   0.064697,   0.046387,   0.048828,   0.050049,   0.057373,   0.051270,   0.042725,   0.048828
2017-04-09T00:40:00Z, 120.234380, 116.718750, 117.773440, 117.773440, 123.750000, 128.320310, 131.835940, 136.757810, 145.546880, 150.820310, 150.820310,  98.085940,   2.636720,   2.050780,   3.574220,   3.984380,   3.808590,   4.453130,   5.332030,   6.386720,   6.152340,   5.742190,   5.683590,   5.859380,   6.328130,   0.072021,   0.056152,   0.052490,   0.048828,   0.041504,   0.040283,   0.035400,   0.052490,   0.057373,   0.040283,   0.053711
2017-04-09T00:50:00Z, 123.750000, 122.343750, 123.398440, 123.750000, 129.375000, 130.781250, 135.000000, 142.031250, 148.710940, 153.281250, 160.312500, 181.054690,   2.871090,   2.285160,   3.691410,   4.101560,   4.042970,   4.746090,   5.742190,   6.328130,   6.269530,   5.976560,   5.800780,   6.093750,   6.503910,   0.064697,   0.056152,   0.057373,   0.048828,   0.075684,   0.040283,   0.036621,   0.046387,   0.043945,   0.042725,   0.034180
2017-04-09T01:00:00Z, 125.859380, 126.562500, 127.968750, 128.671880, 130.781250, 134.648440, 140.625000, 147.656250, 153.632810, 158.203130, 159.609380, 161.367190,   2.988280,   2.343750,   3.632810,   3.984380,   3.984380,   4.804690,   5.625000,   6.328130,   6.152340,   5.917970,   5.976560,   6.328130,   6.679690,   0.061035,   0.070801,   0.061035,   0.065918,   0.036621,   0.069580,   0.047607,   0.043945,   0.050049,   0.047607,   0.037842
2017-04-09T01:10:00Z, 131.132810, 131.484380, 131.835940, 131.132810, 134.648440, 133.593750, 143.437500, 150.117190, 156.796880, 161.015630, 164.531250, 164.179690,   2.871090,   2.402340,   3.750000,   4.042970,   4.101560,   4.687500,   5.742190,   6.562500,   6.210940,   6.152340,   6.386720,   6.738280,   6.914060,   0.057373,   0.054932,   0.056152,   0.053711,   0.040283,   0.039063,   0.040283,   0.051270,   0.053711,   0.047607,   0.041504
2017-04-09T01:20:00Z, 135.703130, 132.187500, 132.187500, 132.539060, 131.132810, 135.351560, 143.789060, 150.820310, 156.796880, 160.664060, 164.179690, 165.937500,   3.281250,   2.636720,   3.925780,   4.277340,   4.277340,   5.039060,   6.152340,   6.562500,   6.328130,   6.386720,   6.796880,   6.972660,   6.914060,   0.054932,   0.062256,   0.057373,   0.057373,   0.036621,   0.039063,   0.040283,   0.029297,   0.042725,   0.050049,   0.036621
2017-04-09T01:30:00Z, 134.648440, 130.781250, 131.835940, 130.078130, 133.242190, 139.218750, 145.898440, 152.578130, 157.148440, 162.070310, 164.531250, 165.937500,   3.398440,   2.871090,   4.218750,   4.570310,   4.511720,   5.332030,   6.152340,   6.562500,   6.386720,   6.679690,   7.148440,   7.265630,   7.207030,   0.048828,   0.056152,   0.065918,   0.039063,   0.041504,   0.036621,   0.045166,   0.041504,   0.051270,   0.046387,   0.042725
2017-04-09T01:40:00Z, 133.945310, 132.187500, 132.539060, 132.539060, 135.703130, 139.921880, 150.117190, 155.742190, 159.960940, 163.476560, 165.234380, 165.234380,   3.574220,   2.988280,   4.160160,   4.570310,   4.570310,   5.156250,   6.328130,   6.386720,   6.445310,   6.914060,   7.500000,   7.558590,   7.441410,   0.057373,   0.052490,   0.063477,   0.050049,   0.037842,   0.035400,   0.041504,   0.039063,   0.030518,   0.034180,   0.034180
2017-04-09T01:50:00Z, 133.593750, 134.296880, 134.296880, 135.000000, 136.054690, 139.570310, 147.656250, 153.984380, 161.015630, 163.828130, 164.531250, 165.234380,   3.457030,   2.929690,   4.335940,   4.804690,   4.687500,   5.566410,   6.503910,   6.386720,   6.621090,   7.148440,   7.441410,   7.558590,   7.441410,   0.032959,   0.032959,   0.042725,   0.047607,   0.051270,   0.048828,   0.046387,   0.048828,   0.043945,   0.032959,   0.042725
2017-04-09T02:00:00Z, 138.164060, 138.164060, 137.812500, 138.164060, 140.273440, 147.656250, 152.578130, 155.742190, 160.312500, 163.125000, 164.179690, 165.585940,   3.691410,   2.988280,   4.453130,   4.921880,   4.863280,   5.976560,   6.621090,   6.738280,   6.972660,   7.324220,   7.500000,   7.500000,   7.382810,   0.054932,   0.042725,   0.058594,   0.048828,   0.037842,   0.043945,   0.041504,   0.035400,   0.037842,   0.035400,   0.037842
2017-04-09T02:10:00Z, 137.460940, 135.351560, 137.460940, 136.406250, 145.898440, 149.765630, 152.578130, 155.390630, 157.500000, 159.257810, 161.015630, 163.476560,   4.160160,   3.515630,   4.921880,   5.507810,   5.449220,   6.445310,   6.679690,   7.324220,   7.500000,   7.558590,   7.617190,   7.500000,   7.324220,   0.061035,   0.052490,   0.047607,   0.031738,   0.043945,   0.041504,   0.039063,   0.031738,   0.043945,   0.037842,   0.050049
2017-04-09T02:20:00Z, 135.000000, 138.164060, 140.976560, 139.921880, 149.765630, 151.875000, 156.093750, 159.609380, 161.718750, 165.585940, 166.289060, 166.992190,   4.511720,   3.632810,   5.156250,   5.742190,   5.683590,   6.328130,   7.031250,   7.617190,   7.734380,   7.734380,   7.441410,   7.148440,   7.148440,   0.057373,   0.052490,   0.043945,   0.047607,   0.040283,   0.034180,   0.037842,   0.039063,   0.039063,   0.041504,   0.041504
2017-04-09T02:30:00Z, 136.757810, 142.734380, 145.546880, 146.250000, 150.820310, 151.523440, 158.906250, 162.070310, 164.179690, 165.937500, 167.343750, 168.750000,   4.453130,   3.808590,   5.273440,   5.976560,   5.859380,   6.386720,   7.207030,   7.968750,   7.968750,   7.792970,   7.617190,   7.558590,   7.558590,   0.057373,   0.045166,   0.035400,   0.036621,   0.036621,   0.041504,   0.032959,   0.034180,   0.032959,   0.040283,   0.040283
2017-04-09T02:40:00Z, 138.867190, 144.492190, 148.007810, 145.898440, 154.335940, 157.500000, 164.179690, 166.640630, 167.343750, 167.695310, 168.398440, 168.750000,   4.570310,   3.984380,   5.332030,   6.035160,   5.859380,   6.679690,   7.675780,   8.320310,   8.320310,   8.144530,   8.027340,   7.851560,   7.851560,   0.042725,   0.034180,   0.032959,   0.032959,   0.036621,   0.031738,   0.035400,   0.034180,   0.042725,   0.032959,   0.047607
2017-04-09T02:50:00Z, 143.789060, 149.062500, 151.875000, 151.875000, 157.148440, 161.367190, 166.992190, 168.750000, 169.101560, 169.101560, 170.507810, 171.210940,   4.746090,   3.984380,   5.214840,   5.742190,   5.742190,   6.679690,   7.968750,   8.496090,   8.261720,   8.261720,   8.261720,   8.203130,   7.968750,   0.041504,   0.050049,   0.043945,   0.035400,   0.029297,   0.035400,   0.032959,   0.032959,   0.034180,   0.035400,   0.029297
2017-04-09T03:00:00Z, 146.601560, 156.093750, 159.609380, 159.609380, 161.367190, 166.289060, 170.859380, 172.617190, 172.617190, 172.968750, 173.320310, 174.023440,   4.628910,   3.867190,   5.156250,   5.917970,   5.800780,   7.089840,   8.144530,   8.144530,   8.320310,   8.378910,   8.437500,   8.437500,   8.320310,   0.039063,   0.030518,   0.050049,   0.034180,   0.034180,   0.035400,   0.036621,   0.025635,   0.037842,   0.042725,   0.041504
2017-04-09T03:10:00Z, 151.171880, 160.312500, 159.960940, 160.664060, 160.312500, 163.828130, 171.562500, 173.671880, 173.671880, 173.671880, 174.375000, 174.726560,   4.160160,   3.398440,   4.980470,   5.800780,   5.742190,   6.855470,   7.792970,   8.027340,   8.203130,   8.437500,   8.554690,   8.496090,   8.496090,   0.045166,   0.031738,   0.036621,   0.031738,   0.046387,   0.036621,   0.034180,   0.037842,   0.025635,   0.025635,   0.029297
2017-04-09T03:20:00Z, 155.742190, 159.960940, 158.906250, 159.609380, 160.312500, 165.234380, 172.617190, 174.023440, 173.671880, 173.671880, 174.726560, 174.726560,   3.984380,   3.339840,   5.273440,   5.976560,   5.976560,   6.855470,   7.675780,   7.792970,   8.203130,   8.320310,   8.437500,   8.378910,   8.437500,   0.054932,   0.031738,   0.039063,   0.032959,   0.035400,   0.030518,   0.035400,   0.029297,   0.031738,   0.031738,   0.035400
